Time,0,45,90,135,180
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:20.430451,-57,-64,-60,-56,-56
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:15:46.099170,-45,-41,-62,-45,-47
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:16:39.613053,-50,-51,-63,-62,-57
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:08.693446,-65,-56,-56,-64,-63
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
2021-07-27 08:17:34.186626,-47,-45,-50,-51,-49
